Date,SENSEX,US ROI,INDIAN ROI ,time_idx,month,EXR RATE IN $
2005-04-04,6616.83,2.78,4.77,0,4,43.76
2005-04-05,6611.53,2.72,4.76,0,4,43.81
2005-04-06,6555.92,2.73,4.76,0,4,43.76
2005-04-07,6629.12,2.76,4.77,0,4,43.74
2005-04-08,6544.81,2.75,4.77,0,4,43.77
2005-04-11,6477.14,2.78,4.76,0,4,43.74
2005-04-12,6407.39,2.77,4.76,0,4,43.7
2005-04-13,6466.92,2.76,4.75,0,4,43.75
2005-04-15,6339.73,2.82,4.78,0,4,43.83
2005-04-19,6181.39,2.74,4.76,0,4,43.76
2005-04-20,6169.83,2.74,4.78,0,4,43.76
2005-04-21,6249.29,2.75,4.8,0,4,43.75
2005-04-25,6338.67,2.82,4.77,0,4,43.71
2005-04-26,6374.28,2.78,4.76,0,4,43.69
2005-04-27,6323.9,2.63,4.75,0,4,43.71
2005-04-28,6271.61,2.89,4.76,0,4,43.71
2005-04-29,6283.07,2.97,4.57,0,4,43.65
2005-05-02,6183.07,2.98,4.99,1,5,43.57
2005-05-03,6200.39,2.95,4.99,1,5,43.6
2005-05-04,6218.95,2.99,5.0,1,5,43.54
2005-05-05,6322.02,2.99,5.0,1,5,43.41
2005-05-06,6367.25,2.98,5.01,1,5,43.44
2005-05-09,6391.8,2.99,5.01,1,5,43.51
2005-05-10,6486.08,2.99,5.01,1,5,43.45
2005-05-11,6420.25,2.99,5.02,1,5,43.37
2005-05-12,6442.86,3.01,5.04,1,5,43.3
2005-05-13,6447.72,3.01,5.07,1,5,43.43
2005-05-16,6456.97,3.06,5.02,1,5,43.49
2005-05-17,6545.22,2.99,5.02,1,5,43.43
2005-05-18,6457.37,3.0,5.02,1,5,43.56
2005-05-19,6461.07,3.02,5.02,1,5,43.45
2005-05-20,6462.16,3.01,4.98,1,5,43.5
2005-05-24,6563.02,2.99,5.0,1,5,43.49
2005-05-25,6566.84,3.01,5.01,1,5,43.51
2005-05-26,6599.27,3.01,5.0,1,5,43.52
2005-05-27,6689.56,3.01,5.0,1,5,43.52
2005-05-30,6697.15,3.01,5.02,1,5,43.54
2005-05-31,6666.17,3.09,5.01,1,5,43.69
2005-06-01,6729.39,3.02,5.01,2,6,43.72
2005-06-02,6733.46,3.0,5.01,2,6,43.76
2005-06-03,6664.98,2.99,5.02,2,6,43.66
2005-06-06,6747.2,3.0,5.02,2,6,43.6
2005-06-07,6756.6,2.96,5.04,2,6,43.53
2005-06-08,6768.2,2.96,5.04,2,6,43.53
2005-06-09,6858.7,3.01,5.03,2,6,43.55
2005-06-10,6833.58,3.01,5.06,2,6,43.56
2005-06-13,6790.33,3.04,5.04,2,6,43.62
2005-06-14,6847.62,3.01,5.05,2,6,43.65
2005-06-15,6876.79,3.05,5.08,2,6,43.66
2005-06-16,6906.12,3.0,5.08,2,6,43.61
2005-06-17,6913.07,2.99,5.06,2,6,43.59
2005-06-20,6940.06,3.01,5.04,2,6,43.54
2005-06-21,6985.91,2.96,5.04,2,6,43.61
2005-06-22,7079.87,2.93,5.03,2,6,43.5
2005-06-23,7142.91,3.05,5.04,2,6,43.53
